,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2021 Odometer Reading,6/30/2022 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,,,
FAC MGMT,1GD01ZCG0DF152854,565,64 332S,,2013,GMC,Sierra 2500 HD,"36,734","38,433","1,699", , ,,,,,,,,,
FAC MGMT,NM0LS6BN8DT140639,567,64 336S,,2013,Ford,Transit Connect XLT,"40,351","43,815","3,464", , ,,,,,,,,,
FAC MGMT,1GB0CVCG1DF184790,569,65 775S,,2013,Chevrolet,Silverado 2500HD Utility Body,"28,083","31,263","3,180", , ,,,,,,,,,
FAC MGMT,NM0LS7DN3DT130149,583,67 460S,,2013,Ford,Transit Connect XLT,"12,792","15,532","2,740", , ,,,,,,,,,
FAC MGMT,NM0LS7DNXDT164122,587,67 450S,,2013,Ford,Transit Connect XLT,"15,921","18,140","2,219", , ,,,,,,,,,
FAC MGMT,NM0LS7BN0DT170398,588,76 541S,,2013,Ford,Transit Connect XLT,"20,259","23,173","2,914", , ,,,,,,,,,
FAC MGMT,1GCWGFBA5E1115435,580,65 846S,,2014,Chevrolet,Express Cargo Van,"29,156","30,764","1,608", , ,,,,,,,,,
FAC MGMT,1GD322CGXEF150645,581,65 847S,,2014,GMC,Sierra 3500 w/dump,"35,243","39,117","3,874", , ,,,,,,,,,
FAC MGMT,1GNSHBF46E1164546,584,67 452S,,2014,Chevrolet,Express 1500 Van,"18,707","20,200","1,493", , ,,,,,,,,,
FAC MGMT,1GCSGAFX9E1162337,585,67 451S,,2014,Chevrolet,Express 1500 Van,"29,868","34,239","4,371", , ,,,,,,,,,
FAC MGMT,1FTFW1EF3EFB11058,586,67 449S,,2014,Ford,F150 4x4 P/U       Crew Cab,"15,744","18,071","2,327", , ,,,,,,,,,
FAC MGMT,1GCWGFCA1E1149466,592,67 477S,,2014,Ford,F350 4X4,"69,521","80,593","11,072", , ,,,,,,,,,
