,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
FAC MGMT,3N63M0ZN2HK719381,817,75 611S,,2018,Chevrolet,City Express w/glass in doors,"8,866","13,062","4,196",, ,,,,,,,
FAC MGMT,1FTBF2A66JEC65323,818,75 618S,,2018,Ford,F250 4x2 w/lift gate,"4,638","6,123","1,485",, ,,,,,,,
FAC MGMT,NM0LS7E79J1368983,819,75 614S,,2018,Ford,Transit Connect XL LWB Van,"2,928","4,080","1,152",, ,,,,,,,
FAC MGMT,1FDUF5HY6KDA03029,820,76 517S,,2019,Ford,F550 w/Terex LT40 Bucket,"9,205","15,819","6,614",, ,,,,,,,
FAC MGMT,1FT7W2A65KEC43482,821,76 504S,,2019,Ford,F250 4x2 Crew Cab,"4,700","7,080","2,380",, ,,,,,,,
FAC MGMT,1FT7W2A67KEC43483,822,76 505S,,2019,Ford,F250 4x2 Crew Cab,"5,538","8,618","3,080",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK719705,824,75 617S,,2017,Chevrolet,City Express          cargo van,"3,399","4,538","1,139",, ,,,,,,,
FAC MGMT,1FDBF2A66KEC61172,825,76 513S,,2019,Ford,F250 w/XLHybrid System,"6,418","11,899","5,481",, ,,,,,,,
FAC MGMT,1FDBF2A66KEC61171,826,76 512S,,2019,Ford,F250 w/XLHybrid System,"8,049","13,298","5,249",, ,,,,,,,
FAC MGMT,1FDWE3F6XKDC08564,827,76 520S,,2019,Ford,F350 Box Van w/rail liftgate & XLHybrid System,"2,874","5,677","2,803",, ,,,,,,,
FAC MGMT,1FDWE3F61KDC08565,828,76 519S,,2019,Ford,F350 Box Van w/rail liftgate & XLHybrid System,"4,229","8,419","4,190",, ,,,,,,,
FAC MGMT,1FTYR1ZM7HKB10063,830,75 626S,,2018,Ford,Transit 250      cargo van,"17,240","18,152",912,, ,,,,,,,
FAC MGMT,1FDWE3FS6HDC32205,831,75 627S,,2017,Ford,E350 15' Box Van,"25,706","26,090",384,, ,,,,,,,
FAC MGMT,NM0GS9F76J1360853,833,75 642S,,2018,Ford,Transit Connect XLT (LWB) Van,"4,023","5,463","1,440",, ,,,,,,,
FAC MGMT,1FTYE1ZM0JKA02157,834,75 645S,,2018,Ford,Transit 150 low roof cargo van,"16,257","18,216","1,959",, ,,,,,,,
FAC MGMT,1GD07RFGXJ1262569,835,75 643S,,2018,GMC,Savana 2500 Cutaway w/12' Box & Lift Gate,"3,120","3,639",519,, ,,,,,,,
FAC MGMT,1E9EB25S7JP363197,836,5828L,,2019,E-Ride Industries,EXV4 Patriot,"1,412","1,763",351,, ,,,,,,,
FAC MGMT,1N6BD0CT4HN745526,861,75 644S,,2017,Nissan,Frontier              King Cab 4x2,"8,242","12,159","3,917",, ,,,,,,,
FAC MGMT,1N6BD0CT0HN734460,862,75 640S,,2017,Nissan,Frontier              King Cab 4x2,"5,023","10,736","5,713",, ,,,,,,,
FAC MGMT,1N6AD0EV6JN759069,863,75 647S,,2018,Nissan,Frontier V6        Crew Cab 4x4,"4,052","4,825",773,, ,,,,,,,
FAC MGMT,1FTBF2B62KED14369,866,76 509S,,2019,Ford,F250 4x4 sing cab long bed,"5,407","11,231","5,824",, ,,,,,,,
FAC MGMT,1N4AZ1CP3JC303675,867,75 649S,,2018,Nissan,Leaf SV,"1,340","2,392","1,052",, ,,,,,,,
FAC MGMT,1FDUF4HY0KDA07877,868,76 514S,,2019,Ford,F550 Dump Truck 4x4,"3,655","6,720","3,065",, ,,,,,,,
FAC MGMT,3N6CM0KN2HK694301,869,76 507S,,2017,Nissan,NV200 S cargo van,"2,569","3,497",928,, ,,,,,,,
FAC MGMT,1N4AL3AP7JC299744,870,76 508S,,2018,Nissan,Altima,"4,413","5,594","1,181",, ,,,,,,,
FAC MGMT,1FTYR2ZM1JKA84295,872,76 523S,,2018,Ford,Transit250 Low Roof Cargo Van,"27,795","36,016","8,221",, ,,,,,,,
FAC MGMT,1FTYE9ZM1JKA43332,873,76 522S,,2018,Ford,Transit150 Low Roof Cargo Van,"21,652","23,849","2,197",, ,,,,,,,
FAC MGMT,1N4AZ1CP3KC308117,876,76 531S,,2019,Nissan,Leaf SV,"1,169","1,864",695,, ,,,,,,,
FAC MGMT,1N4AZ1CPXKC308633,877,76 532S,,2019,Nissan,Leaf S,"1,113","1,715",602,, ,,,,,,,
FAC MGMT,1FDBF2B68KEF81771,881,76 547S,,2019,Ford,F250 4x4 w/lift gate,"2,495","5,104","2,609",, ,,,,,,,
FAC MGMT,1N4AZ1CP9JC311506,886,76 527S,,2018,Nissan,Leaf SV,"1,909","2,857",948,, ,,,,,,,
FAC MGMT,3N6CM0KN7GK699251,889,76 534S,,2016,Nissan,NV200 S cargo van,"20,133","22,134","2,001",, ,,,,,,,
FAC MGMT,3N6CM0KN9KK705365,890,76 535S,,2019,Nissan,NV200 S cargo van,"1,080","2,311","1,231",, ,,,,,,,
FAC MGMT,3N6CM0KN3KK699532,891,76 536S,,2019,Nissan,NV200 S cargo van,"1,616","4,043","2,427",, ,,,,,,,
FAC MGMT,1GTH5BEA3K1138727,892,76 537S,,2019,GMC,Canyon 2WD      Ext Cab,"3,216","6,290","3,074",, ,,,,,,,
FAC MGMT,1GTH5BEA2K1194738,893,76 538S,,2019,GMC,Canyon 2WD      Ext Cab,"1,769","3,299","1,530",, ,,,,,,,
FAC MGMT,1E9EB25S7KP363234,894,5834L,,2019,E-Ride,Patriot MXV4,"1,095","1,661",566,, ,,,,,,,
FAC MGMT,54DCDW1B2KS807501,895,78 555S,,2019,Chevrolet,"4500 LCF 16"" Box Van w/liftgate","5,151","11,808","6,657",, ,,,,,,,
FAC MGMT,NM0GS9E24K1417090,896,76 549S,,2019,Ford,Transit Connect,"2,031","4,124","2,093",, ,,,,,,,
FAC MGMT,1GCHSBEA0L1174787,897,78 566S,,2020,Chevrolet,Colorado 2WD      Ext. Cab,"1,226","4,676","3,450",, ,,,,,,,
FAC MGMT,2C4RC1H78JR230575,898,76 548S,,2018,Chrysler,Pacifica Hybrid,"6,160","9,261","3,101",, ,,,,,,,
FAC MGMT,1FTYR1ZM7JKA65440,907,76 546S,,2018,Ford,Transit250 Low Roof Cargo Van,"13,744","15,726","1,982",, ,,,,,,,
FAC MGMT,NM0LS7E2XK1384468,910,78 558S,,2018,Ford,Transit Connect,797,"1,672",875,, ,,,,,,,
FAC MGMT,1GTH5BEA5K1359553,911,78 557S,,2019,GMC,Canyone Base,"1,559","4,979","3,420",, ,,,,,,,
FAC MGMT,1FTYR1YM7JKA99167,912,8 559S,,2018,Ford,Transit250 ,"8,919","9,989","1,070",, ,,,,,,,
FAC MGMT,1FTYR1ZM1JKA89815,913,78 560S,,2018,Ford,Transit250,"10,821","15,019","4,198",, ,,,,,,,
FAC MGMT,1FTYR1ZM8JKB37990,915,78 565S,,2018,Ford,Transit250,"20,130","28,564","8,434",, ,,,,,,,
FAC MGMT,1FTYR1YM4JKB16569,916,78 562S,,2018,Ford,Transit250,"17,011","19,619","2,608",, ,,,,,,,
FAC MGMT,1N6BD0CT9HN760555,917,78 556S,,2017,Nissan,Frontier 4x2,"19,914","22,401","2,487",, ,,,,,,,
FAC MGMT,2C4RC1H78JR172659,918,78 561S,,2018,Chrysler,Pacifica Hybrid,"1,429","2,976","1,547",, ,,,,,,,
FAC MGMT,1FT7W2B66LED69480,921,78 598S,,2020,Ford,F250 4x4 crew cab w/stake body,185,"2,842","2,657",, ,,,,,,,
FAC MGMT,1FDRF3C69LED69479,922,78 595S,,2020,Ford,F350 w/Knapheide Svc Body & Liftmore Svc Crane,128,"3,071","2,943",, ,,,,,,,
FAC MGMT,1FDRF3A66LED09646,923,78 579S,,2020,Ford,F350 reg. cab w/utility body & lift gate,507,"5,490","4,983",, ,,,,,,,
FAC MGMT,1FDUFGN5LDAO5850,924,78 593S,,2020,Ford,F550 Reg Cab Utility Body w/Svc Crane,120,"2,142","2,022",, ,,,,,,,
FAC MGMT,1FTMF1E51LKE10695,925,78 580S,,2020,Ford,F150 P/U,657,"4,429","3,772",, ,,,,,,,
FAC MGMT,NM0LS7E23K1384473,926,78 569S,,2019,Ford,Transit Connect,863,"3,394","2,531",, ,,,,,,,
FAC MGMT,3N6CM0KN2KK712299,927,78 571S,,2019,Nissan,NV200,397,"1,206",809,, ,,,,,,,
FAC MGMT,3N6CM0KN2KK708947,928,78 570S,,2019,Nissan,NV200,384,"2,725","2,341",, ,,,,,,,
FAC MGMT,1N6BD0CT4JN766303,930,78 575S,,2018,Nissan,Frontier S,"1,224","5,170","3,946",, ,,,,,,,
FAC MGMT,1N6BD0CT8KN797216,931,78 572S,,2019,Nissan,Frontier S,888,"4,068","3,180",, ,,,,,,,
FAC MGMT,1FDRF3G60LEE27893,933,80 706S,,2020,Ford,F350 4x2 w/Dejana custom stake body,174,"1,735","1,561",, ,,,,,,,
FAC MGMT,1FTYR1ZM9KKB34856,935,78 581S,,2019,Ford,Transit250,"3,979","7,828","3,849",, ,,,,,,,
FAC MGMT,3N6CMOKNXLK708681,939,80 705S,,2020,Nissan,NV200 S cargo van,7,"1,484","1,477",, ,,,,,,,
FAC MGMT,1FTEX1C56MKD59832,942,80 712S,,2021,Ford,F150 Ext Cab,93,392,299,, ,,,,,,,
FAC MGMT,1GCGG25V451196133,943,49 986S,,2005,Chevrolet,Express 2500 Cargo Van,"32,688","35,595","2,907", , ,,,,,,,
FAC MGMT,3N6CMOKN1LK708729,945,80 707S,,2020,Nissan,NV200 Cargo Van,87,598,511,, ,,,,,,,
FAC MGMT,1FDUF5GN7MDA08606,946,"TEMP
13416E",,2021,Ford,F550 Dump Truck 4x2,261,358,97,, ,,,,,,,
FAC MGMT,1GCDT14E778202334,948,50 253S,,2007,Chevrolet,Colorado P/U,"38,835","42,428","3,593", , ,,,,,,,
FAC MGMT,1GCGSBEA4M1245602,949,80-715S,,2021,Chevrolet,Colorado P/U,186,466,280,, ,,,,,,,
FAC MGMT,1N6ED0CE8MN703238,950,80-716S,,2021,Nissan,Frontier P/U,54,721,667,, ,,,,,,,
FAC MGMT,1FMCU59349KB19307,954,50 080S,,2009,Ford,Escape Hybrid 4x4,"28,122","30,424","2,302", , ,,,,,,,
FAC MGMT,1N4BZ1CP4KC313072,966,80 711S,,2019,Nissan,Leaf SV Plus,"3,497","3,554",57,, ,,,,,,,
FAC MGMT,1N4BZ1CP7KC320842,969,80 710S,,2019,Nissan,Leaf SV Plus,"10,043","10,184",141,, ,,,,,,,
FAC MGMT,1FDUF5GNXMDA04792,975,80-717S,,2021,Ford,F550 4x2 Reg. Cab Utility Body Truck,126,785,659,, ,,,,,,,
FAC MGMT,1GCWGAF1K1275809,976,80-719S,,2019,Chevrolet,Express 2500,"12,500","13,107",607,, ,,,,,,,
FAC MGMT,3N6CM0KN3MK691708,977,80-718S,,2021,Nissan,NV 200,69,699,630,, ,,,,,,,
FAC MGMT,1N6ED0CF2MN705527,978,80-720S,,2021,Nissan,Frontier Ext Cab 4x4 P/U,20,286,266,, ,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"721,579",, ,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
