,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2023 Odometer Reading,"ACTUAL
2023 mileage",6/30/2024 Odometer Reading,"REVISED 
Annual Mileage",Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,1GTH6BEAXG1102988,656,69 498S,,2016,GMC,Canyon,"49,708","49,708","53,419","3,711","3,711", , ,,,,,,,
FAC MGMT,NM0LS7S27N1540331,992,83 420S,,2022,Ford,Transit Connect XL,"1,925","1,925","5,630","3,705","3,705",, ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA99242,680,71 968S,,2016,Ford,Transit,"21,970","21,970","25,640","3,670","3,670", , ,,,,,,,
FAC MGMT,1GB0CVCG6CF134269,549,63 689S,,2012,Chevrolet,Silverado 2500HD Reg. Cab Utility Body,"28,012","28,012","31,601","3,588","3,588", , ,,,,,,,
FAC MGMT,1FDBF2B67NEF66313,1046,83 433S,,2022,Ford,F250,"2,493","2,493","6,063","3,570","3,570",, ,,,,,,,
FAC MGMT,1FD7W2A63JEB31922,781,74 183S,,2018,Ford,F250 P/U crew cab w/lift gate,"16,905","16,905","20,444","3,539","3,539",, ,,,,,,,
FAC MGMT,1FTBF2B63FEA41416,595,67 489S,,2015,Ford,F250 4X4,"35,678","35,678","39,193","3,514","3,514", , ,,,,,,,
FAC MGMT,1FDBF2A63NEC27386,973,80 730S,,2022,Ford,F250,"5,264","5,264","8,752","3,488","3,488",, ,,,,,,,
FAC MGMT,NM0LS6BN8DT140639,567,64 336S,,2013,Ford,Transit Connect XLT,"47,305","47,305","50,767","3,462","3,462", , ,,,,,,,
FAC MGMT,1FTBR1Y85MKA25484,1078,83 450S,,2021,Ford,Transit250,889,"12,093","15,474","3,381","14,585",, ,,,,,,,
FAC MGMT,1N6ED1CM0NN652283,1104,84 085S,,2022,Nissan,Frontier S,"12,879","12,879","16,258","3,379","3,379",, ,,,,,,,
FAC MGMT,NM0LS7E26L1464447,985,80 739S,,2020,Ford,Transit Connect XL,"18,296","18,296","21,656","3,360","3,360",, ,,,,,,,
